Project,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Status,PR Link,Merged Commit Sha,# of Commits,Issue ID,Notes,JUnit Version
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-common,org.apache.dubbo.common.extension.ExtensionLoaderTest.test_AddExtension,NIO,Accepted,https://github.com/apache/dubbo/pull/6953,0171947d6e42b1e0a5998ff8e6b1069de2e774bb,1,Dubbo-6954,,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-common,org.apache.dubbo.common.extension.ExtensionLoaderTest.test_AddExtension_Adaptive,NIO,Accepted,https://github.com/apache/dubbo/pull/8467,b64ea1d8c6c5b64828ef3d08f8cc432de59bb559,1,,,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-common,org.apache.dubbo.common.extension.ExtensionLoaderTest.test_AddExtension_NoExtend,NIO,Accepted,https://github.com/apache/dubbo/pull/8467,b64ea1d8c6c5b64828ef3d08f8cc432de59bb560,1,,,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-common,org.apache.dubbo.common.extension.ExtensionLoaderTest.test_replaceExtension,NIO,Accepted,https://github.com/apache/dubbo/pull/6953,0171947d6e42b1e0a5998ff8e6b1069de2e774bb,1,Dubbo-6954,,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-common,org.apache.dubbo.common.extension.ExtensionLoaderTest.test_replaceExtension_Adaptive,NIO,Accepted,https://github.com/apache/dubbo/pull/6953,0171947d6e42b1e0a5998ff8e6b1069de2e774bb,1,Dubbo-6954,,
https://github.com/apache/hadoop,cc2babc1f75c93bf89a8f10da525f944c15d02ea,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core,org.apache.hadoop.mapred.TestTaskProgressReporter.testBytesWrittenRespectingLimit,NIO,Accepted,https://github.com/apache/hadoop/pull/2500,6187f76f11e885023c99382f0fd18f8fea8bcbb6,2,MAPREDUCE-7311,,
https://github.com/apache/shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,elastic-job-lite-core,io.elasticjob.lite.event.rdb.JobEventRdbStorageTest.assertAddJobStatusTraceEventWhenFailoverWithTaskFailedState,NIO,Accepted,https://github.com/apache/shardingsphere-elasticjob/pull/1838,bb23820c44232ac722dc3b53cdf88d61745fb003,2,,,
https://github.com/apache/shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,elastic-job-lite-core,io.elasticjob.lite.event.rdb.JobEventRdbStorageTest.assertAddJobStatusTraceEventWhenFailoverWithTaskStagingState,NIO,Accepted,https://github.com/apache/shardingsphere-elasticjob/pull/1838,bb23820c44232ac722dc3b53cdf88d61745fb003,2,,,
https://github.com/apache/shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,elastic-job-lite-core,io.elasticjob.lite.reg.zookeeper.ZookeeperRegistryCenterModifyTest.assertPersistSequential,NIO,Accepted,https://github.com/apache/shardingsphere-elasticjob/pull/636,a1e2d6e611133a6741f854b7eb8ff623ff1e4f0d,1,,,
https://github.com/apache/shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,elastic-job-lite-core,io.elasticjob.lite.util.json.GsonFactoryTest.assertRegisterTypeAdapter,NIO,Accepted,https://github.com/apache/shardingsphere-elasticjob/pull/1901,db577fa7c9b73399878a6f2d82c4b4ccb9f0f294,1,,,
