Issue Key,Title,Link,Labels,Project ID,Project Key,Project Name,Status,Description Filename,Resolution,Comments Filename
CRUC-775,Create unit tests that verify JSON serialization,https://jira.atlassian.com/browse/CRUC-775,,11771,CRUC,Crucible,Closed,jira_description_comments/CRUC-775_description.txt,Fixed,jira_description_comments/CRUC-775_comments.txt
JRASERVER-33760,The Mail Fetcher should not fetch deleted emails for processing.,https://jira.atlassian.com/browse/JRASERVER-33760,affects-server,10240,JRASERVER,Jira Data Center,Closed,jira_description_comments/JRASERVER-33760_description.txt,Fixed,jira_description_comments/JRASERVER-33760_comments.txt
CONFSERVER-47480,ConfluenceQuestionsCloudTest#askQuestion test failing in Cloud Acceptance Test and Qualify build,https://jira.atlassian.com/browse/CONFSERVER-47480,"affects-cloud, affects-server, failing-tests",10470,CONFSERVER,Confluence Data Center,Closed,jira_description_comments/CONFSERVER-47480_description.txt,Fixed,jira_description_comments/CONFSERVER-47480_comments.txt
CONFSERVER-10187,"After discarding a draft, previewing newly attached images does not work",https://jira.atlassian.com/browse/CONFSERVER-10187,"affects-server, editor, files, qa-manual",10470,CONFSERVER,Confluence Data Center,Closed,jira_description_comments/CONFSERVER-10187_description.txt,Timed out,jira_description_comments/CONFSERVER-10187_comments.txt
BCLOUD-15072,Pipeline auto retry on fail,https://jira.atlassian.com/browse/BCLOUD-15072,migrated,20310,BCLOUD,Bitbucket Cloud,Gathering Interest,jira_description_comments/BCLOUD-15072_description.txt,,jira_description_comments/BCLOUD-15072_comments.txt
BAM-14747,"Allow disabling of ""rerun failed jobs"" in plan config",https://jira.atlassian.com/browse/BAM-14747,,11011,BAM,Bamboo Data Center,Gathering Interest,jira_description_comments/BAM-14747_description.txt,,jira_description_comments/BAM-14747_comments.txt
BCLOUD-15621,run tests without commit,https://jira.atlassian.com/browse/BCLOUD-15621,migrated,20310,BCLOUD,Bitbucket Cloud,Closed,jira_description_comments/BCLOUD-15621_description.txt,Won't Fix,jira_description_comments/BCLOUD-15621_comments.txt
BAM-14749,Manual Editing of Quarantines List,https://jira.atlassian.com/browse/BAM-14749,bamboo-bugs-grooming,11011,BAM,Bamboo Data Center,Closed,jira_description_comments/BAM-14749_description.txt,Timed out,jira_description_comments/BAM-14749_comments.txt
JSWSERVER-16108,Print selected cards option unavailable,https://jira.atlassian.com/browse/JSWSERVER-16108,warranty,12200,JSWSERVER,Jira Software Data Center,Gathering Impact,jira_description_comments/JSWSERVER-16108_description.txt,,jira_description_comments/JSWSERVER-16108_comments.txt
CLOUD-3998,Fix remaining issues after studio-3.0-dev merge to trunk,https://jira.atlassian.com/browse/CLOUD-3998,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-3998_description.txt,Fixed,jira_description_comments/CLOUD-3998_comments.txt
SRCTREEWIN-1195,SourceTree no longer displays UTF-16 when .gitattributes properly configured,https://jira.atlassian.com/browse/SRCTREEWIN-1195,"diffing, utf-16, utf-8",14510,SRCTREEWIN,Sourcetree for Windows,Closed,jira_description_comments/SRCTREEWIN-1195_description.txt,Cannot Reproduce,jira_description_comments/SRCTREEWIN-1195_comments.txt
CLOUD-4376,User cannot Attach Screenshots on a JIRA issue,https://jira.atlassian.com/browse/CLOUD-4376,"jira, usability",14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-4376_description.txt,Fixed,jira_description_comments/CLOUD-4376_comments.txt
BAM-20899,Quarantined Tests not inherited by Divergent Plan Branch,https://jira.atlassian.com/browse/BAM-20899,,11011,BAM,Bamboo Data Center,Gathering Interest,jira_description_comments/BAM-20899_description.txt,,jira_description_comments/BAM-20899_comments.txt
CLOUD-5264,View Profile page failing with velocity template or JSP error,https://jira.atlassian.com/browse/CLOUD-5264,jira44,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-5264_description.txt,Obsolete,jira_description_comments/CLOUD-5264_comments.txt
JSWCLOUD-15792,Unable to link to GitHub due to Invalid user/team account error,https://jira.atlassian.com/browse/JSWCLOUD-15792,"affects-cloud, da-missed-requirement, da-missed-use-case, migrated_from_dcon",18511,JSWCLOUD,Jira Software Cloud,Closed,jira_description_comments/JSWCLOUD-15792_description.txt,Fixed,jira_description_comments/JSWCLOUD-15792_comments.txt
CONFCLOUD-75937,Macro editor transparent background,https://jira.atlassian.com/browse/CONFCLOUD-75937,,18513,CONFCLOUD,Confluence Cloud,Closed,jira_description_comments/CONFCLOUD-75937_description.txt,Fixed,jira_description_comments/CONFCLOUD-75937_comments.txt
JRACLOUD-41100,Double request to /rest/issueNav/1/issueTable/stable on issue search,https://jira.atlassian.com/browse/JRACLOUD-41100,"jracloud-stale-triage, performance-browser",18514,JRACLOUD,Jira Cloud,Closed,jira_description_comments/JRACLOUD-41100_description.txt,Obsolete,jira_description_comments/JRACLOUD-41100_comments.txt
JRASERVER-41100,Double request to /rest/issueNav/1/issueTable/stable on issue search,https://jira.atlassian.com/browse/JRASERVER-41100,performance-browser,10240,JRASERVER,Jira Data Center,Gathering Impact,jira_description_comments/JRASERVER-41100_description.txt,,jira_description_comments/JRASERVER-41100_comments.txt
CLOUD-5133,java.lang.StackOverflowError in jWebUnit,https://jira.atlassian.com/browse/CLOUD-5133,jira44,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-5133_description.txt,Fixed,jira_description_comments/CLOUD-5133_comments.txt
API-588,"Create Slack channel on issue transition and invite the Assignee, Reporter, and Watchers",https://jira.atlassian.com/browse/API-588,,20010,API,Atlassian Product Integrations,Gathering Interest,jira_description_comments/API-588_description.txt,,jira_description_comments/API-588_comments.txt
JRASERVER-30489,Webhooks JQL filtering may not always match,https://jira.atlassian.com/browse/JRASERVER-30489,"affects-server, expedite",10240,JRASERVER,Jira Data Center,Closed,jira_description_comments/JRASERVER-30489_description.txt,Fixed,jira_description_comments/JRASERVER-30489_comments.txt
JRASERVER-69407,add workflow property which persists over all transitions,https://jira.atlassian.com/browse/JRASERVER-69407,,10240,JRASERVER,Jira Data Center,Gathering Interest,jira_description_comments/JRASERVER-69407_description.txt,,jira_description_comments/JRASERVER-69407_comments.txt
CONFCLOUD-64950,Page labels have higher z-index than an inline comment,https://jira.atlassian.com/browse/CONFCLOUD-64950,"jac-bulk-close2, stale-bulk-close2",18513,CONFCLOUD,Confluence Cloud,Closed,jira_description_comments/CONFCLOUD-64950_description.txt,Timed out,jira_description_comments/CONFCLOUD-64950_comments.txt
CONFSERVER-56203,PDF export fails due to image cache collision,https://jira.atlassian.com/browse/CONFSERVER-56203,,10470,CONFSERVER,Confluence Data Center,Closed,jira_description_comments/CONFSERVER-56203_description.txt,Fixed,jira_description_comments/CONFSERVER-56203_comments.txt
CONFSERVER-45363,The Workbox's setPingCompleted method is susceptible to deadlocks,https://jira.atlassian.com/browse/CONFSERVER-45363,"affects-server, l1l2, pse-request",10470,CONFSERVER,Confluence Data Center,Closed,jira_description_comments/CONFSERVER-45363_description.txt,Fixed,jira_description_comments/CONFSERVER-45363_comments.txt
CONFCLOUD-55241,Unable to view Excel file in New layout (adg3),https://jira.atlassian.com/browse/CONFCLOUD-55241,adg3,18513,CONFCLOUD,Confluence Cloud,Closed,jira_description_comments/CONFCLOUD-55241_description.txt,Fixed,jira_description_comments/CONFCLOUD-55241_comments.txt
CLOUD-5066,FishEye always thinks you are logged out,https://jira.atlassian.com/browse/CLOUD-5066,unicorn,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-5066_description.txt,Fixed,jira_description_comments/CLOUD-5066_comments.txt
JRASERVER-45032,Import progress page can sometimes return code 500 status if refreshed ,https://jira.atlassian.com/browse/JRASERVER-45032,"affects-server, hipchat-integration-1000.0.0",10240,JRASERVER,Jira Data Center,Closed,jira_description_comments/JRASERVER-45032_description.txt,Fixed,jira_description_comments/JRASERVER-45032_comments.txt
