Issue Key,Title,Link,Labels,Project ID,Project Key,Project Name,Status,Resolution,GitHub Project Link
OOZIE-3270, Upgrade Derby to 10.14.1.0,https://issues.apache.org/jira/browse/OOZIE-3270,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3261,"[build] Set up mvn clean to delete the ""build"" directory as well",https://issues.apache.org/jira/browse/OOZIE-3261,newbie,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3315,DateList example fails,https://issues.apache.org/jira/browse/OOZIE-3315,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3314,Remove findbugs-filter.xml and convert its contents to annotations,https://issues.apache.org/jira/browse/OOZIE-3314,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3313,Hive example action fails,https://issues.apache.org/jira/browse/OOZIE-3313,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3312,Add support for HSTS ,https://issues.apache.org/jira/browse/OOZIE-3312,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3201,Typo in TestCoordActionInputCheckXCommand,https://issues.apache.org/jira/browse/OOZIE-3201,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3210,[build] Revision information is empty,https://issues.apache.org/jira/browse/OOZIE-3210,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3208,"""It should never happen"" error messages should be more specific to root cause",https://issues.apache.org/jira/browse/OOZIE-3208,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3193,Applications are not killed when submitted via subworkflow,https://issues.apache.org/jira/browse/OOZIE-3193,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3199,Let system property restriction configurable,https://issues.apache.org/jira/browse/OOZIE-3199,,12311620,OOZIE,Oozie,Resolved,Invalid,https://github.com/apache/oozie
OOZIE-3195,Typo in WebServicesAPI.twiki: Proxy Hive Job Submission,https://issues.apache.org/jira/browse/OOZIE-3195,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3623,Fix Typos in Distro Assembly,https://issues.apache.org/jira/browse/OOZIE-3623,newbie,12311620,OOZIE,Oozie,Patch Available,,https://github.com/apache/oozie
OOZIE-3560,IDEA shows have some error  in index.jsp,https://issues.apache.org/jira/browse/OOZIE-3560,,12311620,OOZIE,Oozie,Patch Available,,https://github.com/apache/oozie
OOZIE-3557,[build] Update required minimum maven version,https://issues.apache.org/jira/browse/OOZIE-3557,,12311620,OOZIE,Oozie,Resolved,Fixed,https://github.com/apache/oozie
OOZIE-3499,[Java 11] Fix TestLiteWorkflowAppParser,https://issues.apache.org/jira/browse/OOZIE-3499,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3494,Incorrect hadoop-yarn-registry version,https://issues.apache.org/jira/browse/OOZIE-3494,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3571,Wrong log string substitution in CredentialsProviderFactory class,https://issues.apache.org/jira/browse/OOZIE-3571,,12311620,OOZIE,Oozie,Resolved,Fixed,https://github.com/apache/oozie
OOZIE-3487,Confusing E0820 error message,https://issues.apache.org/jira/browse/OOZIE-3487,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3485,[Java 11] Update Maven Surefire Plugin to 2.22.2,https://issues.apache.org/jira/browse/OOZIE-3485,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3321,PySpark example fails,https://issues.apache.org/jira/browse/OOZIE-3321,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3306,Make it possible to override maven dependency plugin version number,https://issues.apache.org/jira/browse/OOZIE-3306,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3301,Update NOTICE file,https://issues.apache.org/jira/browse/OOZIE-3301,,12311620,OOZIE,Oozie,Patch Available,,https://github.com/apache/oozie
IGNITE-13327,Add a metric for processed keys when rebuilding indexes.,https://issues.apache.org/jira/browse/IGNITE-13327,,12315922,IGNITE,Ignite,Resolved,Fixed,https://github.com/apache/ignite
OOZIE-2927,Append new line character for Hive2 query using query tag,https://issues.apache.org/jira/browse/OOZIE-2927,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-2907,Delete PrepareActionsDriver from oozie-sharelib,https://issues.apache.org/jira/browse/OOZIE-2907,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
HADOOP-11731,Rework the changelog and releasenotes,https://issues.apache.org/jira/browse/HADOOP-11731,,12310240,HADOOP,Hadoop Common,Resolved,Fixed,https://github.com/apache/hadoop common
HBASE-8960,TestDistributedLogSplitting.testLogReplayForDisablingTable fails sometimes,https://issues.apache.org/jira/browse/HBASE-8960,,12310753,HBASE,HBase,Closed,Fixed,https://github.com/apache/hbase
OOZIE-2684,Bad database schema error for WF_ACTIONS table,https://issues.apache.org/jira/browse/OOZIE-2684,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-2791,ShareLib installation may fail on busy Hadoop clusters,https://issues.apache.org/jira/browse/OOZIE-2791,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-2645,Deprecate Instrumentation in favor of Metrics,https://issues.apache.org/jira/browse/OOZIE-2645,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3409,Oozie Server : Memory leak in EL evaluation,https://issues.apache.org/jira/browse/OOZIE-3409,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3682,Prepare ssh-wrapper script to handle callback specific arguments with quotes,https://issues.apache.org/jira/browse/OOZIE-3682,,12311620,OOZIE,Oozie,Resolved,Fixed,https://github.com/apache/oozie
OOZIE-3249,[tools] Instrumentation log parser,https://issues.apache.org/jira/browse/OOZIE-3249,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
BEAM-3522,Review and update the references of maven to gradle in the source code,https://issues.apache.org/jira/browse/BEAM-3522,,12319527,BEAM,Beam,Resolved,Fixed,https://github.com/apache/beam
BEAM-10697,Python Precommit failing due to type check failure.,https://issues.apache.org/jira/browse/BEAM-10697,,12319527,BEAM,Beam,Resolved,Fixed,https://github.com/apache/beam
OOZIE-3368,[fluent-job] CredentialsRetrying example does not compile,https://issues.apache.org/jira/browse/OOZIE-3368,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3515,Upgrade sqoop version to 1.4.7,https://issues.apache.org/jira/browse/OOZIE-3515,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3307,[core] Limit heap usage of LauncherAM,https://issues.apache.org/jira/browse/OOZIE-3307,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3381,[coordinator] Enhance logging of CoordElFunctions,https://issues.apache.org/jira/browse/OOZIE-3381,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3277,[build] Check for star imports,https://issues.apache.org/jira/browse/OOZIE-3277,newbie,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3675,Upgrade Mockito from 2 to 3.11.2,https://issues.apache.org/jira/browse/OOZIE-3675,,12311620,OOZIE,Oozie,Resolved,Done,https://github.com/apache/oozie
HIVE-19481,Tablesample uses incorrect logic to pick files corresponding to buckets.,https://issues.apache.org/jira/browse/HIVE-19481,,12310843,HIVE,Hive,Closed,Fixed,https://github.com/apache/hive
OOZIE-3343,[build] [tests] Add the first five test errors per module to the report,https://issues.apache.org/jira/browse/OOZIE-3343,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
GEODE-5130,Refactor pipeline in anticipation of PR pipeline,https://issues.apache.org/jira/browse/GEODE-5130,pull-request-available,12318420,GEODE,Geode,Open,,https://github.com/apache/geode
OOZIE-2829,Improve sharelib upload to accept multiple source folders,https://issues.apache.org/jira/browse/OOZIE-2829,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3573,Fix oozie-default.xml descriptions,https://issues.apache.org/jira/browse/OOZIE-3573,,12311620,OOZIE,Oozie,Resolved,Fixed,https://github.com/apache/oozie
OOZIE-3179,Adding a configurable config-default.xml location to a workflow,https://issues.apache.org/jira/browse/OOZIE-3179,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3217,Enable definition of admin users using oozie-site.xml,https://issues.apache.org/jira/browse/OOZIE-3217,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3633,"TestIntegrationGitActionExecutor can fail due to ""Address already in use""",https://issues.apache.org/jira/browse/OOZIE-3633,,12311620,OOZIE,Oozie,Resolved,Fixed,https://github.com/apache/oozie
OOZIE-3579,[docs] Fix typos in coordinator documentation,https://issues.apache.org/jira/browse/OOZIE-3579,,12311620,OOZIE,Oozie,Resolved,Fixed,https://github.com/apache/oozie
OOZIE-3134,Potential inconsistency between the in-memory SLA map and the Oozie database,https://issues.apache.org/jira/browse/OOZIE-3134,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
